Time,Longitude,Latitude,CW Channel,CW RSSI (dB)
2023-10-10T02:24:35.895,,,44590,-117.61
2023-10-10T02:24:35.902,,,45440,-116.61
2023-10-10T02:24:35.907,,,44990,-116.14
2023-10-10T02:24:35.909,,,44840,-117.13
2023-10-10T02:24:35.913,,,45490,-114.64
2023-10-10T02:24:35.921,,,45190,-117.28
2023-10-10T02:24:35.925,,,44890,-118.04
2023-10-10T02:24:35.930,,,45040,-117.1
2023-10-10T02:24:35.934,,,45240,-117.66
2023-10-10T02:24:35.942,,,44690,-116.99
2023-10-10T02:24:35.946,,,45290,-117.12
2023-10-10T02:24:35.955,,,44790,-117.55
2023-10-10T02:24:35.958,,,44940,-115.54
2023-10-10T02:24:35.964,,,45540,-115.8
2023-10-10T02:24:35.972,,,45090,-117.46
2023-10-10T02:24:35.975,,,45340,-116.35
2023-10-10T02:24:35.980,,,44640,-118.71
2023-10-10T02:24:35.987,,,44740,-116.85
2023-10-10T02:24:35.991,,,45140,-117.57
2023-10-10T02:24:35.998,,,45390,-117.37
2023-10-10T02:24:36.007,,,44590,-117.65
2023-10-10T02:24:36.010,,,45440,-116.77
2023-10-10T02:24:36.013,,,44990,-117.69
2023-10-10T02:24:36.021,,,44840,-117.3
2023-10-10T02:24:36.026,,,45490,-116.33
2023-10-10T02:24:36.031,,,45190,-117.12
2023-10-10T02:24:36.038,,,44890,-117.72
2023-10-10T02:24:36.043,,,45040,-117
2023-10-10T02:24:36.047,,,45240,-117.43
2023-10-10T02:24:36.054,,,44690,-116.15
2023-10-10T02:24:36.059,,,45290,-117.33
2023-10-10T02:24:36.064,,,44790,-117.39
2023-10-10T02:24:36.070,,,44940,-117.12
2023-10-10T02:24:36.075,,,45540,-115.97
2023-10-10T02:24:36.081,,,45090,-115.97
2023-10-10T02:24:36.087,,,45340,-114.62
2023-10-10T02:24:36.092,,,44640,-118.79
2023-10-10T02:24:36.097,,,44740,-117.61
2023-10-10T02:24:36.109,,,45140,-117.11
2023-10-10T02:24:36.110,,,45390,-117.2
2023-10-10T02:24:36.116,,,44590,-117.12
2023-10-10T02:24:36.122,,,45440,-116.96
2023-10-10T02:24:36.126,,,44990,-117.44
2023-10-10T02:24:36.132,,,44840,-117.58
2023-10-10T02:24:36.137,,,45490,-116.81
2023-10-10T02:24:36.142,,,45190,-117.51
2023-10-10T02:24:36.149,,,44890,-117.52
2023-10-10T02:24:36.154,,,45040,-117.71
2023-10-10T02:24:36.162,,,45240,-117.13
2023-10-10T02:24:36.166,,,44690,-117.46
2023-10-10T02:24:36.174,,,45290,-117.23
2023-10-10T02:24:36.187,,,44790,-115.57
2023-10-10T02:24:36.189,,,44940,-116.33
2023-10-10T02:24:36.190,,,45540,-117.25
2023-10-10T02:24:36.197,,,45090,-115.76
2023-10-10T02:24:36.199,,,45340,-116.93
2023-10-10T02:24:36.205,,,44640,-117.52
