Filename	IsInterpolated	MeasCount	Longitude	UmtsAsnVersion1.0.0Latitude	SecCode	BroadcastCode	CenterFreq	Date	Time	ScannerID	HGT_AGL	SignalLevels
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064164619998	10001	0	RpWl5F/Pg3YY6MTvre055g==
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_50_1960	50	1960	7/15/2014	16:15:08	1064165897331	10001	0	ambPVposn7c+SHhLCWAX+w==
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_63_1960	63	1960	7/15/2014	16:15:08	1064173605023	10001	0	PVwl98wgHa3sl/q4PupezA==
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_14_1960	14	1960	7/15/2014	16:15:08	1064156665741	10001	0	2tWmIIuQsolR0DE2PpKPIA==
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_255_1960	255	1960	7/15/2014	16:15:08	1064161001536	10001	0	Fr1U69fNfh9jR+cpHn/05g==
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_106_1960	106	1960	7/15/2014	16:15:08	1064163940818	10001	0	vVdH5IVXuZl+yM2WoT41Dw==
\das_output_NOT_encrypted.dmm	False	33	-78.7857819	42.7738648	Code_35_1960	35	1960	7/15/2014	16:15:08	1064175643177	10001	0	WqBryE23phW5putCyoycVw==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_112_1960	112	1960	7/15/2014	16:15:08	1064142845023	10001	0	eSjjWD3G1SmpGQtAfpho/g==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_40_1960	40	1960	7/15/2014	16:15:08	1064146597639	10001	0	4sxFc7W0cYy0MIjuWiITwg==
\das_output_NOT_encrypted.dmm	False	36	-78.7857819	42.7738648	Code_107_1960	107	1960	7/15/2014	16:15:08	1064147321741	10001	0	I5jHnjNhzfIOdg3XKoQ60w==
\das_output_NOT_encrypted.dmm	False	34	-78.7857819	42.7738648	Code_15_1960	15	1960	7/15/2014	16:15:08	1064138118664	10001	0	6AoUNzmpWEhC/xMqyEm/6w==
